지점,지점명,일시,평균기온(°C),최대 풍속(m/s),최대 풍속 풍향(16방위),평균 상대습도(%)
133,대전,2019-01-01,-2.7,3.4,320,69.8
133,대전,2019-01-02,-3.3,3.8,320,64.1
133,대전,2019-01-03,-2.7,2.4,110,55.8
133,대전,2019-01-04,-1.6,1.8,320,61.8
133,대전,2019-01-05,-.7,3.2,320,52.8
133,대전,2019-01-06,-1.9,2.7,180,52.5
133,대전,2019-01-07,-1.2,3.1,320,66.6
133,대전,2019-01-08,-1.5,5.3,320,54.1
133,대전,2019-01-09,-3.4,2.9,340,41.9
133,대전,2019-01-10,-1.1,2.3,340,58.3
133,대전,2019-01-11,2.8,1.8,140,63.5
133,대전,2019-01-12,4.5,4,200,69.8
133,대전,2019-01-13,1.8,1.7,140,66.6
133,대전,2019-01-14,1.7,2.2,50,72.5
133,대전,2019-01-15,-.1,5.1,320,72.5
133,대전,2019-01-16,-3.8,3.8,320,56.8
133,대전,2019-01-17,0,2.7,200,72.9
133,대전,2019-01-18,.8,2.1,200,70.8
133,대전,2019-01-19,3.2,2.1,110,66.6
133,대전,2019-01-20,1.3,5.6,320,51.1
133,대전,2019-01-21,.2,4.2,180,62.8
133,대전,2019-01-22,3.3,3.2,200,65.8
133,대전,2019-01-23,2.8,5,320,57.6
133,대전,2019-01-24,.9,2.4,200,42.9
133,대전,2019-01-25,-.9,5.5,320,48.5
133,대전,2019-01-26,-2.3,3.6,340,41.5
133,대전,2019-01-27,-.4,5,180,59
133,대전,2019-01-28,2.3,5.5,320,61.1
133,대전,2019-01-29,.1,2.4,110,50
133,대전,2019-01-30,2.7,3,340,55.8
133,대전,2019-01-31,.6,4.7,320,55.4
133,대전,2019-02-01,-1.2,3.8,320,65.6
133,대전,2019-02-02,1.7,2.2,250,70.4
133,대전,2019-02-03,5,4.4,320,93
133,대전,2019-02-04,1.3,3.8,290,51.5
133,대전,2019-02-05,3.2,1.6,110,50.4
133,대전,2019-02-06,6.1,4,180,69
133,대전,2019-02-07,1.8,5.9,320,56
133,대전,2019-02-08,-3.3,2.8,340,39.8
133,대전,2019-02-09,-2.7,4.7,340,46.5
133,대전,2019-02-10,-2.4,2.5,320,36.9
133,대전,2019-02-11,-1.7,3.7,320,47.9
133,대전,2019-02-12,-.3,2.5,320,54.6
133,대전,2019-02-13,-.3,4.9,340,43.8
133,대전,2019-02-14,1.5,2.5,320,41.1
133,대전,2019-02-15,1.7,3.8,320,59.8
133,대전,2019-02-16,-.7,4.3,340,64.5
133,대전,2019-02-17,-.7,3,340,55.9
133,대전,2019-02-18,1.9,2.2,250,52.8
133,대전,2019-02-19,2.2,2.8,320,94.1
133,대전,2019-02-20,1.9,3.7,320,80.6
133,대전,2019-02-21,2.1,2.4,110,72.4
133,대전,2019-02-22,3.6,2.4,340,66.1
133,대전,2019-02-23,5.5,4,90,58.9
133,대전,2019-02-24,6.7,4.4,320,63.4
133,대전,2019-02-25,5.7,3.5,340,57.6
133,대전,2019-02-26,5.3,2.5,180,46
133,대전,2019-02-27,6.6,2.1,180,65.8
133,대전,2019-02-28,6.7,2.6,340,67.4
133,대전,2019-03-01,6.1,2.7,360,59.5
133,대전,2019-03-02,7.4,2.1,160,51.5
133,대전,2019-03-03,9,2.1,110,50.8
133,대전,2019-03-04,10,3.3,320,52.9
133,대전,2019-03-05,8.7,3.7,200,61.5
133,대전,2019-03-06,9.7,4.2,340,58.4
133,대전,2019-03-07,7.1,2.9,200,67.4
133,대전,2019-03-08,7,2.7,160,56.4
133,대전,2019-03-09,8.2,3.9,180,41.4
133,대전,2019-03-10,7.9,5.7,90,60.3
133,대전,2019-03-11,5.7,4.3,180,84.3
133,대전,2019-03-12,4.5,5.9,320,77.6
133,대전,2019-03-13,3.7,6.5,320,44.3
133,대전,2019-03-14,5.9,4,230,48.5
133,대전,2019-03-15,6.9,5.3,320,70.8
133,대전,2019-03-16,6,3.8,180,67.6
133,대전,2019-03-17,7.3,4.3,320,55.8
133,대전,2019-03-18,7.1,3.4,180,46
133,대전,2019-03-19,10.6,4.1,180,54.5
133,대전,2019-03-20,10.9,6.6,180,79.8
133,대전,2019-03-21,8.5,5.3,320,83.6
133,대전,2019-03-22,4.4,3.9,340,55.6
133,대전,2019-03-23,3.2,5.8,320,65.8
133,대전,2019-03-24,4.5,4.8,200,60.3
133,대전,2019-03-25,7.2,4.6,180,62.3
133,대전,2019-03-26,11.9,4.2,320,54.8
133,대전,2019-03-27,14.3,5.3,270,60.6
133,대전,2019-03-28,12,2.7,320,56.1
